Date;OS;apiname;us-east-1;us-west-2;us-west-1;eu-west-1;ap-southeast-1;ap-northeast-1;ap-southeast-2;sa-east-1;
20120307;mswin;c1.medium ;0.285 ;0.285 ;0.306 ;0.285 ;0.285 ;0.285 ;;0.35;
20120307;mswin;c1.xlarge ;1.14 ;1.14 ;1.224 ;1.14 ;1.14 ;1.14 ;;1.4;
20120307;mswin;cc1.4xlarge ;1.61 ; ; ; ; ; ;;;
20120307;mswin;cc2.8xlarge ;2.97 ;; ;; ; ;;;
20120307;mswin;cg1.4xlarge ;2.6 ; ; ;; ; ;;;
;;;;;;;;;;;
20120305;linux;m1.small ;0.08 ;0.08 ;0.09 ;0.085 ;0.085 ;0.092 ;;0.115;
20120305;linux;m1.large ;0.32 ;0.32 ;0.36 ;0.34 ;0.34 ;0.368 ;;0.46;
20120305;linux;m1.xlarge ;0.64 ;0.64 ;0.72 ;0.68 ;0.68 ;0.736 ;;0.92;
20120305;linux;t1.micro ;0.02 ;0.02 ;0.025 ;0.02 ;0.02 ;0.027 ;;0.027;
20120305;linux;m2.xlarge ;0.45 ;0.45 ;0.506 ;0.506 ;0.506 ;0.518 ;;0.68;
20120305;linux;m2.2xlarge ;0.9 ;0.9 ;1.012 ;1.012 ;1.012 ;1.036 ;;1.36;
20120305;linux;m2.4xlarge ;1.8 ;1.8 ;2.024 ;2.024 ;2.024 ;2.072 ;;2.72;
20120305;linux;c1.medium ;0.165 ;0.165 ;0.186 ;0.186 ;0.186 ;0.19 ;;0.23;
20120305;linux;c1.xlarge ;0.66 ;0.66 ;0.744 ;0.744 ;0.744 ;0.76 ;;0.92;
20120305;linux;cc1.4xlarge ;1.3 ; ; ; ; ; ;;;
20120305;linux;cc2.8xlarge ;2.4 ;; ;; ; ;;;
20120305;linux;cg1.4xlarge ;2.1 ; ; ;; ; ;;;
20120305;mswin;m1.small ;0.115 ;0.115 ;0.125 ;0.115 ;0.115 ;0.115 ;;0.15;
20120305;mswin;m1.large ;0.46 ;0.46 ;0.5 ;0.46 ;0.46 ;0.46 ;;0.6;
20120305;mswin;m1.xlarge ;0.92 ;0.92 ;1 ;0.92 ;0.92 ;0.92 ;;1.2;
20120305;mswin;t1.micro ;0.02 ;0.02 ;0.035 ;0.035 ;0.02 ;0.035 ;;0.037;
20120305;mswin;m2.xlarge ;0.57 ;0.57 ;0.626 ;0.57 ;0.57 ;0.57 ;;0.8;
20120305;mswin;m2.2xlarge ;1.14 ;1.14 ;1.252 ;1.14 ;1.14 ;1.14 ;;1.6;
20120305;mswin;m2.4xlarge ;2.28 ;2.28 ;2.504 ;2.28 ;2.28 ;2.28 ;;3.2;
20120305;mswin;c1.medium ;0.285 ;0.285 ;0.306 ;0.285 ;0.285 ;0.285 ;;0.35;
20120305;mswin;c1.xlarge ;1.14 ;1.14 ;1.224 ;1.14 ;1.14 ;1.14 ;;1.4;
20120305;mswin;cc1.4xlarge ;1.61 ; ; ; ; ; ;;;
20120305;mswin;cc2.8xlarge ;2.97 ;; ;; ; ;;;
20120305;mswin;cg1.4xlarge ;2.6 ; ; ;; ; ;;;
;;;;;;;;;;;
20111214;linux;m1.small;0.085;0.095;0.095;0.095;0.095;0.10;;0.10;
20111214;linux;m1.large;0.34;0.38;0.38;0.38;0.38;0.40;;0.40;
20111214;linux;m1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;0.80;
20111214;linux;t1.micro;0.02;0.025;0.025;0.025;0.025;0.027;;0.027;
20111214;linux;m2.xlarge;0.50;0.57;0.57;0.57;0.57;0.60;;0.60;
20111214;linux;m2.2xlarge;1.00;1.14;1.14;1.14;1.14;1.20;;1.20;
20111214;linux;m2.4xlarge;2.00;2.28;2.28;2.28;2.28;2.39;;2.39;
20111214;linux;c1.medium;0.17;0.19;0.19;0.19;0.19;0.20;;0.20;
20111214;linux;c1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;0.80;
20111214;linux;cc1.4xlarge;1.30;;;;;;;;
20111214;linux;cc2.8xlarge;2.40;;;;;;;;
20111214;linux;cg1.4xlarge;2.10;;;;;;;;
20111214;mswin;m1.small;0.12;0.13;0.13;0.12;0.12;0.12;;0.12;
20111214;mswin;m1.large;0.48;0.52;0.52;0.48;0.48;0.48;;0.48;
20111214;mswin;m1.xlarge;0.96;1.04;1.04;0.96;0.96;0.96;;0.96;
20111214;mswin;t1.micro;0.03;0.035;0.035;0.035;0.035;0.035;;0.035;
20111214;mswin;m2.xlarge;0.62;0.69;0.69;0.62;0.62;0.62;;0.62;
20111214;mswin;m2.2xlarge;1.24;1.38;1.38;1.24;1.24;1.24;;1.24;
20111214;mswin;m2.4xlarge;2.48;2.76;2.76;2.48;2.48;2.48;;2.48;
20111214;mswin;c1.medium;0.29;0.31;0.31;0.29;0.29;0.29;;0.29;
20111214;mswin;c1.xlarge;1.16;1.24;1.24;1.16;1.16;1.16;;1.16;
20111214;mswin;cc1.4xlarge;1.30;;;;;;;;
20111214;mswin;cc2.8xlarge;2.40;;;;;;;;
20111214;mswin;cg1.4xlarge;2.10;;;;;;;;
;;;;;;;;;;;
20111114;linux;m1.small;0.085;0.095;0.095;0.095;0.095;0.10;;;
20111114;linux;m1.large;0.34;0.38;0.38;0.38;0.38;0.40;;;
20111114;linux;m1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;;
20111114;linux;t1.micro;0.02;0.025;0.025;0.025;0.025;0.027;;;
20111114;linux;m2.xlarge;0.50;0.57;0.57;0.57;0.57;0.60;;;
20111114;linux;m2.2xlarge;1.00;1.14;1.14;1.14;1.14;1.20;;;
20111114;linux;m2.4xlarge;2.00;2.28;2.28;2.28;2.28;2.39;;;
20111114;linux;c1.medium;0.17;0.19;0.19;0.19;0.19;0.20;;;
20111114;linux;c1.xlarge;0.68;0.76;0.76;0.76;0.76;0.80;;;
20111114;linux;cc1.4xlarge;1.30;;;;;;;;
20111114;linux;cc2.8xlarge;2.40;;;;;;;;
20111114;linux;cg1.4xlarge;2.10;;;;;;;;
20111114;mswin;m1.small;0.12;0.13;0.13;0.12;0.12;0.12;;;
20111114;mswin;m1.large;0.48;0.52;0.52;0.48;0.48;0.48;;;
20111114;mswin;m1.xlarge;0.96;1.04;1.04;0.96;0.96;0.96;;;
20111114;mswin;t1.micro;0.03;0.035;0.035;0.035;0.035;0.035;;;
20111114;mswin;m2.xlarge;0.62;0.69;0.69;0.62;0.62;0.62;;;
20111114;mswin;m2.2xlarge;1.24;1.38;1.38;1.24;1.24;1.24;;;
20111114;mswin;m2.4xlarge;2.48;2.76;2.76;2.48;2.48;2.48;;;
20111114;mswin;c1.medium;0.29;0.31;0.31;0.29;0.29;0.29;;;
